22507,163,177,290,415,487,823,904,1458,3104,3359,1511,145,67,61,76,165,214,155,184,238,368,668,621,1
23033,128,166,307,692,1004,1387,1313,1544,2664,3055,1031,270,119,87,84,48,53,41,32,79,134,338,551,1
22675,98,99,189,325,399,526,769,1202,3045,3517,2443,310,121,100,113,146,145,104,97,175,233,381,948,1
26330,107,145,160,240,232,197,289,569,2071,4015,1417,278,182,150,135,135,219,234,179,189,161,204,322,1
22100,173,183,251,382,533,469,588,923,2973,4860,2323,334,162,133,137,216,152,39,32,76,161,329,631,1
21458,129,150,271,407,495,373,683,1304,2272,4149,4318,222,81,75,82,100,45,12,38,78,137,324,957,1
15147,235,190,244,250,241,318,379,955,1590,3726,11687,377,191,187,232,145,93,84,98,118,158,314,1201,1
17373,342,332,546,716,596,429,595,1403,3506,4725,3196,471,290,287,249,299,195,148,121,156,228,442,1515,1
15651,156,157,207,247,228,303,526,951,2886,8443,5150,377,115,47,67,86,123,120,133,85,113,366,1623,1
20356,281,267,320,566,705,760,1177,1790,3118,3381,2006,515,277,192,149,152,155,187,195,258,304,446,603,1
21419,59,73,182,436,795,826,860,1321,2931,4408,1770,314,116,126,140,189,163,53,51,70,150,508,1200,1
25189,69,65,89,132,211,360,698,1565,2307,3003,1554,374,169,164,176,127,141,92,102,123,242,285,923,1
22442,155,161,320,507,723,1040,1138,1491,2641,3471,2045,400,80,57,72,58,84,94,82,118,138,254,589,1
17623,77,83,138,345,710,836,801,1422,3347,5171,3953,379,166,156,245,271,185,69,49,94,138,397,1505,1
21937,137,140,268,463,559,505,573,1370,3421,4532,2214,190,53,54,41,50,46,49,15,50,100,446,947,1
19874,190,195,248,423,593,657,832,1189,2576,3647,4556,415,206,141,105,123,53,45,53,166,329,474,1070,1
20176,225,219,431,625,776,719,832,1366,2770,3690,3821,171,58,38,47,41,37,67,75,135,249,546,1046,1
20608,177,155,248,383,503,505,722,1201,2783,5173,2642,379,222,231,312,253,197,139,102,131,188,388,518,1
21396,250,212,293,411,377,353,621,1482,2783,4132,2223,461,201,153,154,174,219,252,194,223,271,441,884,1
18615,284,271,354,634,765,783,915,1332,3181,5589,2915,410,100,52,66,57,59,50,51,74,152,533,918,1
25473,203,216,264,272,229,291,421,757,2188,3268,1664,144,52,43,58,155,199,135,94,200,333,691,810,1
25229,143,143,263,483,586,749,943,1675,2355,2116,1010,288,148,130,112,136,136,88,173,184,330,436,304,1
21624,126,136,241,430,392,360,714,1387,2687,4314,3129,438,249,210,179,181,136,33,24,56,127,270,717,1
21347,223,265,306,303,264,655,666,1432,3230,3945,2183,606,317,233,207,139,121,83,100,95,158,411,871,1
25047,105,99,110,121,112,156,318,834,1763,3656,3008,497,277,185,246,208,132,174,191,212,194,116,399,1
19724,340,386,481,477,374,250,504,1144,3239,4554,2735,691,281,215,213,206,214,239,268,303,314,380,628,1
23206,334,276,244,268,263,290,428,1103,2510,3721,1970,528,348,228,197,174,193,207,156,190,269,360,697,1
26305,72,84,125,199,514,972,909,1576,2547,2593,1268,44,14,15,20,37,102,91,44,49,41,198,341,1
17750,194,244,343,404,380,340,637,1194,3581,6649,2914,444,203,131,160,395,359,215,188,177,237,518,503,1
24716,121,111,149,308,601,543,622,960,2215,3439,2030,177,63,24,27,59,150,180,142,212,271,419,621,1
27976,72,64,99,178,233,223,204,527,1515,2798,1815,242,157,176,152,98,160,192,181,207,175,139,577,1
18057,379,371,467,697,835,851,1087,1505,3120,5188,2485,463,185,130,121,170,141,124,121,190,266,476,731,1
21819,134,146,212,233,266,218,483,1023,3485,4604,2366,372,98,90,173,203,275,272,225,169,255,458,581,1
19790,103,111,172,181,242,459,639,1009,3041,5948,3344,471,179,160,134,146,125,90,71,127,205,388,1025,1
20723,288,262,320,425,429,577,692,1593,3024,3742,2357,786,399,262,207,167,153,107,147,149,256,512,583,1
19695,231,185,157,219,288,316,543,1273,2704,5397,3955,470,184,110,126,199,98,47,79,83,146,361,1294,1
22054,175,197,254,427,425,438,572,1259,3087,4305,2624,166,67,74,80,156,134,121,105,126,147,294,873,1
26812,154,172,148,167,160,214,325,686,1397,3108,2317,304,162,134,115,105,91,100,49,55,60,178,1147,1
23151,445,494,550,505,474,572,709,1007,2156,3378,1813,445,331,190,156,153,173,117,93,139,193,374,542,1
18743,104,114,210,215,280,430,642,1473,5155,5229,2731,595,303,259,189,162,79,34,48,87,161,358,559,1
18349,367,423,501,500,661,594,796,1201,2706,4730,2805,511,146,95,169,309,294,252,334,423,415,687,892,1
25433,159,169,236,317,524,635,590,1267,2612,2585,1741,84,27,32,53,82,159,77,81,114,161,340,682,1
24938,90,128,152,190,211,385,626,1193,2363,3598,2022,412,222,153,92,68,82,86,72,91,194,224,568,1
21473,97,141,194,320,430,343,404,882,2504,3975,5056,284,94,52,41,69,102,61,54,110,185,320,969,1
18371,136,149,182,292,328,247,375,912,3172,6929,3635,469,208,164,186,276,174,94,94,121,174,317,1155,1
15930,155,150,211,381,502,984,1319,2157,3256,4874,5733,277,102,59,60,94,115,118,67,73,105,285,1153,1
20401,112,98,201,346,421,429,699,1068,2864,5414,3632,304,88,38,29,68,99,42,66,159,227,422,933,1
24594,68,61,125,168,196,156,323,1134,2696,4129,2437,243,119,76,45,97,127,37,49,130,164,242,744,1
19191,148,158,252,322,255,340,635,1856,4390,5167,2445,283,112,151,155,172,173,186,148,180,260,484,697,1
21664,172,152,213,317,390,396,748,1058,2480,3892,4084,197,84,74,91,217,313,175,73,88,129,306,847,1
15871,352,272,354,640,673,692,950,1685,3081,4959,5004,259,116,96,112,214,161,101,77,78,137,446,1830,1
22381,358,368,414,473,363,272,368,691,2280,4459,2354,289,146,133,176,371,395,254,250,229,234,329,573,1
23270,199,208,283,330,251,242,322,609,1720,3877,4335,208,102,81,91,90,74,60,69,107,142,215,1275,1
25384,25,38,84,135,108,115,365,696,1836,3572,3214,407,210,199,280,379,233,122,90,58,74,81,455,1
22211,163,151,187,221,210,210,344,851,2959,4831,2365,359,163,121,115,127,309,235,142,165,294,590,837,1
24547,80,90,105,192,316,277,339,819,1915,3641,3409,368,253,235,148,95,29,6,6,24,77,202,987,1
20167,334,449,556,577,768,808,1368,2149,2883,3081,2322,338,106,67,77,122,183,108,130,198,318,362,689,1
17417,56,59,128,318,499,782,1008,1734,2369,3645,7293,162,65,75,126,127,105,105,65,76,81,97,1768,1
28292,77,79,118,193,152,128,286,525,1875,2283,1665,290,141,130,192,213,124,66,93,96,117,196,829,1
19386,264,244,331,437,438,366,671,1390,3899,5225,2551,398,185,138,175,230,188,174,166,162,211,413,518,1
17602,198,175,195,306,233,274,584,1319,3751,6455,3315,266,82,71,87,141,194,139,151,317,433,663,1209,1
21942,181,202,348,669,520,447,870,1655,2813,4276,2516,315,125,107,111,155,102,56,79,109,167,161,234,-1
17202,108,155,228,339,322,369,587,1498,4428,6270,3593,935,247,180,198,197,126,51,41,87,154,243,602,-1
23602,248,224,286,365,388,436,897,1913,3012,2764,1408,271,139,112,159,238,255,112,79,119,171,338,624,-1
21556,175,157,214,378,386,392,779,1616,3707,4215,2456,313,158,123,107,162,91,39,38,47,132,243,676,-1
18683,189,193,361,474,446,350,645,1331,3225,4977,3004,926,390,415,394,377,268,141,158,188,256,376,393,-1
22737,225,284,376,363,319,285,693,1648,3524,3837,2191,213,85,87,115,154,120,52,45,69,117,271,350,-1
18560,120,152,282,399,276,258,651,1788,3643,5119,3515,437,198,186,217,239,78,41,34,69,136,284,1478,-1
20511,120,132,257,389,305,258,1018,1674,4262,4923,2183,365,173,122,172,177,102,34,38,74,148,265,458,-1
20891,144,209,277,318,328,349,770,1685,3130,4667,3122,263,85,53,62,72,44,25,38,57,109,252,1210,-1
18100,200,221,370,560,767,823,1187,2161,4284,4625,2023,418,206,144,146,218,225,135,147,136,216,393,455,-1
23140,158,162,237,308,318,268,608,1609,2891,4394,2220,342,84,89,77,98,111,68,65,84,93,266,470,-1
20911,132,151,285,570,543,654,1061,1689,3467,4302,2018,408,144,123,153,144,152,70,74,93,164,462,390,-1
21419,253,249,388,541,505,669,795,1480,3445,3910,2020,515,185,161,203,226,141,82,74,87,184,375,253,-1
19828,221,225,404,473,397,548,852,1885,3584,3562,2310,761,416,390,439,326,263,167,161,134,155,255,404,-1
19722,88,154,209,374,475,500,1041,1731,3968,5022,2654,526,182,140,168,164,127,33,21,58,123,293,387,-1
19250,181,248,402,479,438,473,767,1495,3037,4961,3026,279,140,131,160,181,121,107,92,88,127,328,1649,-1
21175,150,161,275,556,427,329,843,1455,3299,4378,2297,534,203,169,156,258,211,132,72,121,225,401,333,-1
25159,159,187,272,348,351,247,688,1344,3062,3083,1466,142,60,51,70,169,189,89,125,109,150,295,345,-1
21136,124,160,214,418,326,290,370,1644,4004,5092,2467,337,68,56,69,53,73,36,59,75,180,468,441,-1
19997,188,173,294,593,529,705,1234,2086,3461,4107,2372,268,123,133,107,163,142,65,51,59,97,245,968,-1
19979,155,143,269,448,359,286,674,1632,3957,4933,2512,412,160,138,234,344,219,124,88,127,241,385,341,-1
20355,125,157,259,449,442,460,750,1640,3170,4676,2842,261,149,125,125,105,78,51,42,47,113,372,1367,-1
19486,188,173,288,428,356,744,399,812,3255,5327,2810,709,249,194,195,313,235,167,154,227,351,503,597,-1
21938,192,216,299,424,395,453,533,1591,3473,3930,1946,446,190,165,185,174,127,80,56,148,272,424,503,-1
22372,112,126,183,282,316,439,643,1554,3047,4246,2900,190,104,75,99,89,93,22,32,73,113,204,846,-1
24451,135,238,419,416,314,206,483,1477,2703,3403,2107,481,175,171,215,124,58,19,28,29,113,205,190,-1
22900,95,106,236,372,408,355,484,1415,3511,4708,1984,228,74,73,64,81,56,48,50,69,138,358,347,-1
19566,367,366,439,504,541,472,753,1391,3081,4844,2719,233,105,107,121,170,151,91,76,161,312,447,1143,-1
19982,102,139,208,280,247,295,607,1509,3798,4930,3118,335,151,134,179,173,127,87,54,117,257,454,877,-1
19110,197,243,273,333,319,413,732,1651,3526,5232,3175,191,63,45,95,181,155,106,92,80,200,396,1352,-1
19659,220,284,436,699,658,712,1449,2410,4301,3417,1673,410,236,166,250,223,125,37,55,77,161,270,232,-1
21703,287,233,333,385,415,398,657,1557,3118,4002,2631,638,189,112,102,171,94,52,50,119,255,331,328,-1
20759,262,204,225,323,348,257,452,987,2478,4782,3527,831,327,263,198,238,253,129,93,127,255,417,425,-1
17712,176,170,209,380,431,512,974,2644,5495,5200,2038,422,157,173,157,93,43,20,23,47,106,386,592,-1
19904,133,229,334,400,477,445,665,1457,3790,5054,2974,396,143,120,151,172,95,82,51,84,114,281,609,-1
21842,89,120,228,351,393,272,598,1442,3548,4920,2166,215,61,69,119,180,103,41,41,51,154,409,748,-1
22538,168,171,278,502,518,379,648,1405,3324,3818,1686,337,146,151,228,270,300,198,110,144,239,330,272,-1
18725,176,208,313,418,396,293,659,1346,3661,4901,3902,447,127,93,145,212,204,135,84,140,199,351,1025,-1
19164,361,256,244,241,290,539,1128,1586,3245,4529,2551,700,496,437,463,401,167,73,67,85,143,334,660,-1
20404,182,204,274,395,338,333,824,1675,3119,4763,2549,195,104,115,127,174,126,68,44,67,114,444,1522,-1
20683,122,160,239,288,410,343,572,1436,3507,4880,2735,468,203,144,196,207,176,55,76,127,205,387,541,-1
23153,245,312,332,530,608,584,798,1899,2773,3194,1610,483,186,129,163,154,101,56,44,88,144,236,338,-1
20462,127,130,254,435,386,281,456,1402,4252,5225,2259,353,93,68,120,197,119,42,22,42,184,521,730,-1
20093,117,166,372,412,319,210,474,1244,3718,5353,2978,632,228,157,196,182,145,42,49,60,141,399,473,-1
21573,244,255,350,574,551,480,767,1452,3165,3854,2014,362,168,133,168,257,193,146,175,178,215,365,521,-1
18368,157,231,357,744,910,723,1023,1862,3573,4404,3267,541,211,155,199,164,159,106,102,126,170,243,365,-1
18069,212,239,355,430,442,500,689,1441,3479,5089,3072,642,289,208,235,346,307,176,242,277,315,442,664,-1
17634,232,259,368,615,559,433,781,1922,4584,5418,2572,496,203,156,118,158,109,48,70,86,170,457,712,-1
20257,151,161,253,411,375,364,593,1869,3671,4324,2597,248,137,133,179,174,87,27,35,54,156,311,1593,-1
19946,116,161,165,253,368,466,675,1717,4568,5026,2206,338,195,183,188,136,101,106,77,139,176,305,549,-1
17267,148,148,255,414,455,480,530,1639,4074,5550,3220,856,367,327,401,343,194,70,76,97,146,404,699,-1
24753,86,126,222,461,337,315,701,1556,2764,3131,1547,310,148,166,214,288,230,132,58,69,87,171,288,-1
19920,196,175,336,556,451,327,696,1435,3277,4642,3453,342,154,126,167,257,103,50,25,77,126,217,1052,-1
19838,178,267,351,509,564,517,829,2044,3735,4135,2322,496,216,162,228,232,146,60,58,92,240,462,479,-1
21534,169,164,307,444,403,367,671,1753,3933,3954,1959,269,143,101,164,262,183,98,76,96,215,309,586,-1
20746,176,152,272,390,330,346,447,1375,3256,5136,2863,487,182,160,176,260,171,78,43,81,197,330,506,-1
20368,125,153,206,344,462,1106,1402,1283,3042,4717,2200,348,170,126,162,192,101,78,88,130,184,540,633,-1
21142,161,254,446,540,398,287,538,1646,3521,4092,2314,456,208,185,207,212,175,194,169,148,177,373,317,-1
21795,133,202,295,387,315,389,1009,1879,3230,4225,2527,261,89,93,80,131,125,64,38,45,86,237,525,-1
25331,110,179,223,436,402,367,621,1520,2716,3105,1754,379,142,86,72,54,42,37,17,21,92,197,257,-1
18990,69,111,235,320,324,331,807,1724,3489,5426,3257,220,83,102,117,231,159,85,54,97,163,438,1328,-1
