22639,182,218,345,526,562,747,1085,1698,2806,2930,1602,337,137,93,89,95,146,113,171,228,315,438,658,1
21321,189,202,232,356,457,871,1049,1655,2611,3321,3153,266,112,83,100,195,267,58,45,51,86,308,1172,1
22642,285,240,382,464,472,564,719,1208,2672,3856,2907,123,35,21,34,47,33,41,26,60,117,307,905,1
19622,104,106,162,261,623,1326,1336,1926,3112,3854,2553,600,229,175,118,74,53,52,49,81,148,445,1151,1
17869,122,96,128,231,304,568,830,1785,5071,5863,2684,420,221,127,120,165,99,34,21,48,141,410,803,1
19631,157,199,213,334,376,454,798,1647,4059,4845,2158,546,284,278,329,239,175,126,126,229,248,314,395,1
21879,126,140,236,454,492,444,530,1147,3171,4425,1925,455,338,249,163,157,204,155,134,156,215,421,544,1
18247,26,20,51,135,174,231,407,532,1471,7556,7840,253,85,54,44,109,126,54,53,58,76,174,384,1
21229,85,94,169,317,414,401,744,1210,2303,5085,3497,219,72,30,52,111,226,126,109,124,193,295,1055,1
16402,101,77,113,233,305,480,629,1054,2804,4517,7765,287,169,209,204,301,211,64,52,52,113,385,1633,1
23724,38,41,56,128,143,108,224,565,1658,3763,4495,348,224,245,331,314,263,168,109,133,168,166,748,1
21629,158,158,248,496,504,363,500,876,2429,4950,2777,497,149,127,141,179,106,60,82,121,218,518,874,1
20598,172,217,310,275,336,368,787,1785,3761,4441,2444,569,318,177,146,119,103,91,60,107,121,253,602,1
20930,75,140,220,191,201,173,465,1635,3680,5173,2892,187,53,50,51,62,85,35,27,31,86,315,1403,1
20580,160,143,216,198,150,129,212,675,3420,5705,3626,608,214,120,62,57,60,41,39,65,121,430,1129,1
18754,118,140,189,263,343,408,480,935,2403,5730,5460,401,249,159,131,139,160,73,80,98,179,348,920,1
20418,204,255,386,573,587,724,1270,1903,3058,3854,2019,350,148,127,230,372,168,75,55,87,214,421,662,1
20185,216,226,384,635,774,750,760,1246,2690,4942,2719,206,65,63,61,71,116,103,96,132,190,312,1218,1
19501,174,283,371,511,594,654,999,1752,3592,4804,2632,170,42,49,84,129,131,40,26,36,119,309,1158,1
21104,189,162,210,282,416,503,798,1401,2840,4572,2427,591,343,244,195,198,155,113,140,177,235,402,463,1
22726,185,206,303,509,586,599,932,1425,2786,3216,1654,341,201,145,174,215,204,181,206,244,260,336,526,1
20642,286,314,464,563,361,273,350,726,1554,3265,7320,112,65,55,97,153,155,73,44,73,106,130,979,1
20618,64,83,124,190,301,283,578,1281,3737,5447,2396,366,226,163,108,82,90,45,37,71,140,560,1170,1
19768,232,218,292,449,573,558,800,1279,2461,3629,3252,462,434,492,434,407,349,204,174,171,165,320,1037,1
21452,111,145,186,226,227,435,642,1160,2931,4604,2714,450,209,135,157,133,132,118,106,120,167,529,1071,1
20526,66,56,113,102,112,106,273,792,2151,6158,4688,457,159,99,78,75,91,72,76,125,162,287,1336,1
21403,130,118,157,322,355,352,562,1259,3226,4649,2907,397,117,63,73,112,89,25,28,83,180,479,1074,1
21929,127,107,175,167,224,304,453,916,2796,4857,3410,336,88,63,90,162,136,64,73,68,138,437,1040,1
22320,139,152,241,344,419,436,359,932,3242,4177,2375,316,98,100,140,256,240,201,158,179,175,468,693,1
21532,94,80,108,166,400,692,838,1489,3515,4204,2090,420,196,184,157,116,128,90,91,121,198,440,811,1
15740,127,159,289,309,178,228,389,1239,3652,5841,5856,324,140,112,164,209,62,11,11,29,59,335,2697,1
21657,68,84,132,168,160,161,289,777,2292,4587,5222,398,282,192,145,102,51,31,28,67,129,292,846,1
19491,182,244,339,429,596,659,801,1231,3376,5868,2859,227,112,68,75,92,102,96,75,61,220,355,602,1
20002,266,298,529,886,998,873,923,1104,2068,4249,2900,293,86,63,93,204,297,196,145,195,194,329,969,1
16922,129,139,212,277,270,374,1061,1688,4915,5852,2891,515,218,174,169,316,293,123,90,64,88,317,1063,1
21816,179,186,284,321,289,386,887,2018,2788,3871,2503,369,224,141,127,136,91,73,83,117,329,393,549,1
20593,182,164,275,432,411,407,663,1095,2959,5698,2565,381,159,69,63,88,109,107,180,200,222,437,701,1
21245,143,172,236,241,279,313,599,1560,3196,5155,2715,196,74,46,54,108,132,58,58,105,152,298,1025,1
23988,118,92,115,173,195,255,479,775,2723,4066,2320,317,175,212,169,167,226,157,129,151,192,209,757,1
17479,225,297,357,496,435,537,946,1304,2785,5455,4575,240,137,136,125,232,148,71,72,108,177,420,1403,1
21033,112,146,339,634,657,573,693,1250,3397,4151,1990,422,293,254,293,351,225,166,128,139,156,245,513,1
20593,96,83,127,134,137,119,219,821,3222,5325,4431,410,170,179,128,112,30,14,15,26,101,360,1308,1
17754,261,220,451,788,911,641,769,1197,3122,4277,4769,240,87,53,35,87,155,119,134,183,318,561,1028,1
25308,118,131,188,202,158,176,243,969,2006,3495,2790,195,100,54,80,86,134,99,100,107,135,293,993,1
21764,294,238,248,387,427,427,629,1000,1976,4259,4967,185,47,40,46,62,102,77,54,110,143,258,420,1
26365,92,111,140,253,255,182,136,328,2559,3620,1735,321,91,55,91,88,109,27,43,103,212,510,734,1
21643,135,113,190,396,637,868,1085,1456,2015,3734,3360,167,59,37,55,124,83,59,92,151,259,433,1009,1
17121,92,110,117,169,156,248,291,624,1100,5647,11340,175,56,40,22,46,26,8,17,27,61,137,530,1
23866,169,145,207,293,349,524,546,892,1351,3062,4308,82,41,28,63,154,117,80,75,107,137,214,1350,1
22238,394,346,377,387,560,616,641,971,2622,4276,1850,291,173,133,141,118,179,164,180,303,300,458,442,1
23337,189,192,183,162,139,121,167,456,1233,3162,5509,524,283,161,131,125,110,106,114,211,178,276,1091,1
26046,123,129,139,178,311,332,432,1023,1981,2552,1870,376,261,204,260,249,253,111,110,120,204,346,550,1
22362,117,95,167,387,425,391,498,1079,3069,4773,2383,364,105,61,83,187,130,48,60,70,189,445,672,1
21127,125,103,103,146,188,204,308,549,1487,4899,5461,453,230,156,118,157,122,121,96,93,133,217,1564,1
19081,188,255,339,615,705,916,1339,1574,3503,3959,2678,237,101,75,112,138,134,80,85,113,238,478,1217,1
23151,223,245,322,421,552,696,912,1431,2394,3871,2031,216,129,132,94,114,89,73,117,97,110,199,541,1
20550,164,127,204,432,457,665,790,1431,3273,4561,2639,433,171,156,193,177,42,9,19,44,89,411,1123,1
20593,194,215,284,348,361,411,821,1398,3358,4573,2484,296,178,95,68,105,118,172,323,366,286,378,735,1
27350,37,77,152,249,408,469,625,1135,2267,1887,1225,166,104,109,171,375,199,128,88,87,114,121,617,1
16318,173,166,415,471,598,803,1158,2177,4713,5912,2244,267,124,127,154,108,90,84,123,207,232,537,959,1
20195,173,164,271,474,560,454,506,980,2304,4658,4271,355,211,125,104,121,112,73,53,119,225,423,1229,1
23402,154,187,159,198,189,229,432,1245,2839,3649,2985,181,70,43,84,98,117,101,77,85,78,285,1273,-1
17981,329,329,509,613,657,791,1129,2038,4191,4231,1912,503,287,246,323,355,232,138,159,185,270,432,320,-1
18703,171,225,400,455,492,574,721,1619,3672,5084,3304,677,253,236,234,201,112,38,46,67,128,286,462,-1
